steps,rewards
0,0.0
8192,3.65625
16384,4.90625
24576,5.375
32768,6.21875
40960,6.40625
49152,6.65625
57344,6.40625
65536,6.125
73728,6.5
81920,7.625
90112,6.875
98304,7.125
106496,6.71875
114688,7.46875
122880,8.03125
131072,7.53125
139264,7.28125
147456,7.34375
155648,7.3125
163840,7.8125
172032,8.15625
180224,9.6875
188416,7.84375
196608,8.0625
204800,9.09375
212992,9.5
221184,6.75
229376,9.34375
237568,7.84375
245760,7.71875
253952,8.84375
262144,9.125
270336,9.0625
278528,9.65625
286720,9.96875
294912,10.03125
303104,9.3125
311296,11.65625
319488,9.8125
327680,10.96875
335872,10.03125
344064,9.65625
352256,10.28125
360448,9.625
368640,11.53125
376832,10.65625
385024,10.84375
393216,10.46875
401408,11.28125
409600,11.34375
417792,11.1875
425984,10.0625
434176,11.5625
442368,12.28125
450560,11.15625
458752,10.6875
466944,10.71875
475136,11.375
483328,10.78125
491520,10.90625
499712,11.71875
507904,10.28125
516096,12.21875
524288,11.25
532480,13.53125
540672,12.65625
548864,12.90625
557056,12.65625
565248,13.25
573440,12.9375
581632,13.84375
589824,13.28125
598016,14.375
606208,12.1875
614400,11.375
622592,13.09375
630784,13.0
638976,12.5
647168,13.875
655360,13.46875
663552,12.75
671744,13.0
679936,12.78125
688128,13.59375
696320,14.875
704512,12.46875
712704,12.90625
720896,12.84375
729088,14.875
737280,14.125
745472,12.40625
753664,13.34375
761856,14.53125
770048,12.375
778240,14.15625
786432,12.625
794624,13.53125
802816,14.03125
811008,13.6875
819200,14.0625
827392,13.71875
835584,13.96875
843776,14.03125
851968,14.34375
860160,13.3125
868352,16.09375
876544,14.15625
884736,15.65625
892928,13.4375
901120,14.09375
909312,14.09375
917504,14.5
925696,14.15625
933888,15.4375
942080,15.5
950272,13.9375
958464,15.0
966656,14.8125
974848,14.53125
983040,14.40625
991232,14.46875
999424,14.625
1007616,15.59375
1015808,14.03125
1024000,14.90625
1032192,14.71875
1040384,14.0
1048576,14.9375
1056768,15.28125
1064960,15.375
1073152,15.4375
1081344,14.65625
1089536,15.3125
1097728,16.21875
1105920,14.21875
1114112,14.5
1122304,14.46875
1130496,14.28125
1138688,14.625
1146880,14.6875
1155072,14.1875
1163264,14.65625
1171456,13.6875
1179648,14.875
1187840,14.8125
1196032,13.25
1204224,14.875
1212416,14.40625
1220608,14.96875
1228800,14.9375
1236992,15.84375
1245184,15.5
1253376,15.78125
1261568,16.4375
1269760,16.9375
1277952,14.28125
1286144,16.28125
1294336,14.6875
1302528,16.46875
1310720,16.21875
1318912,16.9375
1327104,16.28125
1335296,16.78125
1343488,16.59375
1351680,17.4375
1359872,15.375
1368064,15.375
1376256,15.9375
1384448,17.34375
1392640,15.46875
1400832,15.15625
1409024,16.65625
1417216,17.09375
1425408,17.3125
1433600,15.46875
1441792,16.5
1449984,15.53125
1458176,15.3125
1466368,16.53125
1474560,15.09375
1482752,16.59375
1490944,16.46875
1499136,15.875
1507328,16.21875
1515520,16.9375
1523712,16.40625
1531904,15.40625
1540096,15.90625
1548288,15.34375
1556480,15.375
1564672,15.5625
1572864,16.15625
1581056,16.5625
1589248,15.46875
1597440,16.0625
1605632,15.5625
1613824,14.5625
1622016,16.0625
1630208,16.4375
1638400,14.6875
1646592,15.875
1654784,15.71875
1662976,16.875
1671168,16.9375
1679360,16.90625
1687552,16.25
1695744,16.65625
1703936,16.34375
1712128,16.3125
1720320,17.71875
1728512,17.5625
1736704,17.65625
1744896,17.25
1753088,18.3125
1761280,17.59375
1769472,19.4375
1777664,16.21875
1785856,16.625
1794048,17.21875
1802240,15.9375
1810432,16.75
1818624,16.1875
1826816,17.5
1835008,17.125
1843200,17.09375
1851392,17.90625
1859584,18.6875
1867776,16.875
1875968,17.5625
1884160,17.5
1892352,16.75
1900544,18.9375
1908736,18.03125
1916928,17.4375
1925120,17.84375
1933312,18.3125
1941504,18.5
1949696,18.25
1957888,18.96875
1966080,17.09375
1974272,18.96875
1982464,18.53125
1990656,16.8125
1998848,19.21875
2007040,18.96875
2015232,17.03125
2023424,18.65625
2031616,17.21875
2039808,17.90625
2048000,19.4375
2056192,19.09375
2064384,19.90625
2072576,18.375
2080768,19.0
2088960,18.3125
2097152,18.96875
2105344,18.8125
2113536,17.25
2121728,19.21875
2129920,18.5
2138112,18.625
2146304,18.5
2154496,17.78125
2162688,19.25
2170880,17.3125
2179072,18.9375
2187264,18.375
2195456,18.34375
2203648,17.09375
2211840,18.96875
2220032,17.21875
2228224,18.03125
2236416,18.71875
2244608,16.84375
2252800,17.8125
2260992,17.46875
2269184,19.65625
2277376,18.15625
2285568,18.46875
2293760,19.8125
2301952,17.65625
2310144,18.84375
2318336,18.375
2326528,18.59375
2334720,18.875
2342912,18.875
2351104,18.59375
2359296,16.78125
2367488,16.875
2375680,19.15625
2383872,17.71875
2392064,19.0625
2400256,18.5
2408448,20.34375
2416640,19.6875
2424832,18.0
2433024,18.0625
2441216,18.6875
2449408,17.9375
2457600,19.21875
2465792,18.6875
2473984,17.46875
2482176,20.0625
2490368,18.25
2498560,19.9375
2506752,20.0
2514944,21.125
2523136,19.3125
2531328,18.9375
2539520,17.875
2547712,18.84375
2555904,18.5625
2564096,18.5
2572288,19.46875
2580480,19.84375
2588672,19.15625
2596864,19.25
2605056,19.75
2613248,20.4375
2621440,18.875
2629632,19.65625
2637824,19.3125
2646016,18.53125
2654208,20.1875
2662400,19.34375
2670592,19.4375
2678784,17.375
2686976,19.53125
2695168,19.5625
2703360,19.4375
2711552,20.9375
2719744,20.75
2727936,19.875
2736128,18.8125
2744320,17.5625
2752512,18.5625
2760704,21.625
2768896,19.0625
2777088,19.0
2785280,18.84375
2793472,19.25
2801664,17.9375
2809856,19.0625
2818048,18.8125
2826240,19.375
2834432,19.15625
2842624,19.71875
2850816,19.46875
2859008,20.8125
2867200,19.90625
2875392,18.40625
2883584,18.28125
2891776,19.34375
2899968,18.6875
2908160,19.84375
2916352,18.8125
2924544,20.40625
2932736,17.96875
2940928,18.46875
2949120,18.53125
2957312,17.375
2965504,19.75
2973696,19.78125
2981888,19.3125
2990080,17.75
2998272,19.1875
3006464,19.71875
3014656,19.28125
3022848,18.125
3031040,18.5625
3039232,19.21875
3047424,20.46875
3055616,19.8125
3063808,17.125
3072000,19.03125
3080192,21.09375
3088384,21.1875
3096576,21.59375
3104768,19.125
3112960,19.03125
3121152,20.125
3129344,20.6875
3137536,19.75
3145728,19.53125
3153920,20.15625
3162112,18.1875
3170304,18.25
3178496,18.1875
3186688,19.21875
3194880,18.0
3203072,19.25
3211264,19.5
3219456,19.3125
3227648,19.65625
3235840,18.875
3244032,19.3125
3252224,20.40625
3260416,17.71875
3268608,17.59375
3276800,18.3125
3284992,19.375
3293184,19.5
3301376,20.15625
3309568,20.09375
3317760,20.875
3325952,18.28125
3334144,18.78125
3342336,19.3125
3350528,20.84375
3358720,18.875
3366912,20.53125
3375104,19.21875
3383296,19.53125
3391488,19.15625
3399680,18.90625
3407872,19.96875
3416064,19.3125
3424256,19.09375
3432448,21.09375
3440640,20.6875
3448832,19.875
3457024,18.0625
3465216,18.96875
3473408,21.0625
3481600,19.8125
3489792,18.78125
3497984,18.90625
3506176,20.34375
3514368,20.9375
3522560,20.28125
3530752,19.0625
3538944,20.1875
3547136,20.21875
3555328,19.6875
3563520,21.15625
3571712,18.03125
3579904,19.5625
3588096,19.71875
3596288,20.09375
3604480,19.40625
3612672,20.34375
3620864,18.4375
3629056,18.34375
3637248,19.875
3645440,19.6875
3653632,19.90625
3661824,18.90625
3670016,18.78125
3678208,20.125
3686400,20.9375
3694592,18.40625
3702784,20.6875
3710976,19.71875
3719168,19.40625
3727360,19.65625
3735552,19.46875
3743744,21.78125
3751936,19.3125
3760128,18.71875
3768320,18.90625
3776512,20.53125
3784704,17.9375
3792896,19.40625
3801088,19.875
3809280,22.46875
3817472,19.71875
3825664,20.53125
3833856,22.125
3842048,21.0625
3850240,21.375
3858432,19.75
3866624,20.1875
3874816,20.0625
3883008,21.75
3891200,20.75
3899392,19.65625
3907584,18.90625
3915776,19.28125
3923968,18.59375
3932160,19.0625
3940352,20.96875
3948544,19.4375
3956736,21.3125
3964928,19.5
3973120,21.3125
3981312,19.9375
3989504,19.53125
3997696,19.9375
4005888,19.96875
4014080,20.96875
4022272,21.375
4030464,20.875
4038656,21.0625
4046848,21.15625
4055040,20.75
4063232,20.0
4071424,19.0
4079616,20.25
4087808,20.4375
4096000,20.84375
4104192,22.03125
4112384,19.25
4120576,19.96875
4128768,20.125
4136960,21.6875
4145152,19.46875
4153344,20.5625
4161536,20.625
4169728,21.96875
4177920,20.46875
4186112,21.28125
4194304,19.90625
4202496,21.625
4210688,19.9375
4218880,23.78125
4227072,19.96875
4235264,20.8125
4243456,22.15625
4251648,21.46875
4259840,20.46875
4268032,23.875
4276224,21.28125
4284416,20.78125
4292608,21.375
4300800,21.15625
4308992,21.28125
4317184,20.15625
4325376,20.53125
4333568,21.40625
4341760,21.71875
4349952,20.6875
4358144,21.625
4366336,20.75
4374528,21.0625
4382720,21.03125
4390912,23.53125
4399104,20.9375
4407296,20.5
4415488,21.125
4423680,20.375
4431872,20.78125
4440064,19.71875
4448256,20.5625
4456448,21.53125
4464640,21.375
4472832,20.96875
4481024,20.875
4489216,21.65625
4497408,21.1875
4505600,22.4375
4513792,22.09375
4521984,22.96875
4530176,20.5625
4538368,21.875
4546560,22.46875
4554752,21.84375
4562944,20.625
4571136,21.0
4579328,22.0
4587520,22.625
4595712,22.0
4603904,20.15625
4612096,21.125
4620288,22.0625
4628480,22.625
4636672,22.6875
4644864,22.3125
4653056,22.65625
4661248,21.6875
4669440,20.78125
4677632,23.59375
4685824,21.84375
4694016,20.375
4702208,20.28125
4710400,21.15625
4718592,20.5625
4726784,22.8125
4734976,23.28125
4743168,21.5
4751360,22.46875
4759552,21.8125
4767744,22.96875
4775936,21.34375
4784128,22.3125
4792320,22.75
4800512,23.21875
4808704,21.03125
4816896,22.0
4825088,21.0625
4833280,20.84375
4841472,21.125
4849664,22.625
4857856,20.65625
4866048,21.84375
4874240,20.625
4882432,22.0
4890624,21.21875
4898816,20.03125
4907008,22.03125
4915200,21.5
4923392,20.625
4931584,24.34375
4939776,22.3125
4947968,23.46875
4956160,22.71875
4964352,23.5
4972544,19.9375
4980736,20.59375
4988928,21.46875
4997120,20.6875
5005312,20.46875
5013504,22.0625
5021696,24.3125
5029888,20.5
5038080,21.0
5046272,20.21875
5054464,22.34375
5062656,20.96875
5070848,21.78125
5079040,22.0625
5087232,21.71875
5095424,22.90625
5103616,22.15625
5111808,19.4375
5120000,21.34375
5128192,22.0
5136384,19.65625
5144576,21.3125
5152768,18.03125
5160960,20.03125
5169152,21.0
5177344,23.625
5185536,22.1875
5193728,20.90625
5201920,22.03125
5210112,22.5625
5218304,20.59375
5226496,22.375
5234688,20.53125
5242880,21.3125
5251072,20.0625
5259264,22.125
5267456,21.4375
5275648,21.5
5283840,22.0625
5292032,19.46875
5300224,22.40625
5308416,23.75
5316608,22.65625
5324800,20.375
5332992,21.9375
5341184,20.21875
5349376,21.78125
5357568,20.125
5365760,22.25
5373952,20.71875
5382144,22.25
5390336,20.375
5398528,20.8125
5406720,20.84375
5414912,21.0
5423104,21.1875
5431296,21.65625
5439488,21.84375
5447680,21.09375
5455872,20.1875
5464064,22.1875
5472256,21.96875
5480448,21.28125
5488640,21.46875
5496832,21.09375
5505024,21.40625
5513216,21.875
5521408,22.25
5529600,20.84375
5537792,21.625
5545984,19.46875
5554176,22.40625
5562368,21.46875
5570560,21.59375
5578752,21.4375
5586944,21.59375
5595136,21.125
5603328,20.3125
5611520,22.375
5619712,22.6875
5627904,21.3125
5636096,21.8125
5644288,21.46875
5652480,19.46875
5660672,21.03125
5668864,22.5625
5677056,22.9375
5685248,23.40625
5693440,19.9375
5701632,21.09375
5709824,21.5625
5718016,20.4375
5726208,21.6875
5734400,19.90625
5742592,21.125
5750784,21.4375
5758976,21.4375
5767168,21.09375
5775360,20.46875
5783552,22.90625
5791744,21.6875
5799936,21.0
5808128,22.09375
5816320,20.21875
5824512,22.53125
5832704,21.0
5840896,21.65625
5849088,20.09375
5857280,20.15625
5865472,21.5
5873664,19.90625
5881856,21.6875
5890048,21.15625
5898240,23.0
5906432,22.3125
5914624,20.6875
5922816,21.34375
5931008,22.46875
5939200,22.125
5947392,20.8125
5955584,20.9375
5963776,20.875
5971968,21.65625
5980160,22.28125
5988352,23.125
5996544,20.75
6004736,21.59375
6012928,21.28125
6021120,21.875
6029312,22.46875
6037504,21.03125
6045696,21.9375
6053888,21.875
6062080,22.84375
6070272,19.625
6078464,22.78125
6086656,21.9375
6094848,23.8125
6103040,21.84375
6111232,22.125
6119424,21.5
6127616,20.5625
6135808,20.0625
6144000,22.25
6152192,21.3125
6160384,20.875
6168576,20.0625
6176768,21.1875
6184960,22.78125
6193152,22.1875
6201344,22.4375
6209536,21.6875
6217728,21.96875
6225920,24.03125
6234112,21.28125
6242304,21.65625
6250496,22.03125
6258688,21.8125
6266880,21.4375
6275072,22.1875
6283264,22.1875
6291456,22.90625
6299648,24.40625
6307840,22.4375
6316032,21.875
6324224,21.9375
6332416,22.875
6340608,22.65625
6348800,23.125
6356992,21.59375
6365184,21.34375
6373376,21.84375
6381568,22.375
6389760,22.6875
6397952,23.03125
6406144,21.75
6414336,23.21875
6422528,21.25
6430720,22.46875
6438912,22.75
6447104,21.28125
6455296,21.5
6463488,21.21875
6471680,22.15625
6479872,22.40625
6488064,22.03125
6496256,21.90625
6504448,22.78125
6512640,21.875
6520832,20.8125
6529024,22.53125
6537216,20.21875
6545408,21.09375
6553600,22.46875
6561792,22.21875
6569984,21.21875
6578176,22.03125
6586368,22.46875
6594560,21.90625
6602752,21.5625
6610944,20.59375
6619136,22.0
6627328,20.46875
6635520,21.5625
6643712,20.6875
6651904,20.15625
6660096,22.53125
6668288,22.46875
6676480,21.90625
6684672,22.5
6692864,21.0625
6701056,20.9375
6709248,21.1875
6717440,24.0625
6725632,23.78125
6733824,22.875
6742016,21.65625
6750208,22.125
6758400,21.4375
6766592,22.0625
6774784,22.71875
6782976,20.875
6791168,23.375
6799360,22.15625
6807552,22.375
6815744,21.375
6823936,22.1875
6832128,21.78125
6840320,21.625
6848512,20.59375
6856704,22.21875
6864896,22.875
6873088,22.28125
6881280,21.90625
6889472,21.96875
6897664,23.09375
6905856,21.75
6914048,20.90625
6922240,22.90625
6930432,22.625
6938624,21.03125
6946816,22.0625
6955008,21.5625
6963200,24.25
6971392,22.53125
6979584,22.21875
6987776,22.0625
6995968,20.3125
7004160,21.8125
7012352,22.125
7020544,22.4375
7028736,21.75
7036928,22.90625
7045120,22.65625
7053312,22.71875
7061504,20.90625
7069696,22.65625
7077888,22.40625
7086080,20.71875
7094272,21.15625
7102464,22.6875
7110656,22.53125
7118848,22.0625
7127040,21.1875
7135232,22.53125
7143424,22.375
7151616,22.15625
7159808,21.3125
7168000,20.8125
7176192,23.25
7184384,23.875
7192576,23.5
7200768,22.46875
7208960,23.78125
7217152,24.15625
7225344,21.40625
7233536,21.9375
7241728,22.125
7249920,23.40625
7258112,23.8125
7266304,21.78125
7274496,21.78125
7282688,21.78125
7290880,21.25
7299072,22.0625
7307264,22.46875
7315456,22.28125
7323648,22.8125
7331840,21.59375
7340032,20.1875
7348224,22.15625
7356416,20.96875
7364608,19.625
7372800,21.875
7380992,21.53125
7389184,20.53125
7397376,22.21875
7405568,21.53125
7413760,20.90625
7421952,21.8125
7430144,21.15625
7438336,22.71875
7446528,23.75
7454720,22.125
7462912,20.625
7471104,21.375
7479296,22.59375
7487488,22.34375
7495680,22.75
7503872,21.71875
7512064,22.28125
7520256,22.625
7528448,22.9375
7536640,22.09375
7544832,21.96875
7553024,22.875
7561216,20.8125
7569408,21.03125
7577600,22.9375
7585792,19.53125
7593984,21.1875
7602176,23.1875
7610368,19.84375
7618560,23.0625
7626752,20.84375
7634944,22.46875
7643136,21.125
7651328,21.1875
7659520,23.59375
7667712,22.28125
7675904,20.9375
7684096,20.9375
7692288,21.28125
7700480,22.125
7708672,22.1875
7716864,21.78125
7725056,22.46875
7733248,21.65625
7741440,20.5625
7749632,24.0
7757824,21.3125
7766016,23.03125
7774208,22.34375
7782400,21.96875
7790592,23.15625
7798784,22.90625
7806976,21.40625
7815168,21.90625
7823360,23.03125
7831552,20.875
7839744,20.8125
7847936,21.5625
7856128,21.46875
7864320,23.375
7872512,21.34375
7880704,21.6875
7888896,21.4375
7897088,21.4375
7905280,21.0
7913472,22.1875
7921664,22.5
7929856,22.21875
7938048,21.25
7946240,23.34375
7954432,21.75
7962624,22.53125
7970816,21.4375
7979008,21.84375
7987200,21.5625
7995392,21.09375
8003584,20.875
